time,team,fiveFixtures
2018-08-24T18:30:00+00:00,Bayern Munich,"[nan, nan, 2.0, 2.0, 2.0]"
2018-09-01T16:30:00+00:00,Bayern Munich,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-09-15T13:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-22T16:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-25T18:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-28T18:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-06T16:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-20T13:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-27T13:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-03T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-10T17:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-24T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-01T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-08T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-15T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-19T19:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-22T17:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-18T19:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-27T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-02T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-09T17:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-15T19:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-23T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-02T17:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-09T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-17T17:00:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-30T14:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-06T16:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-14T13:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-20T13:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-28T16:00:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-04T13:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-11T13:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, 2.0, nan]"
2019-05-18T13:30:00+00:00,Bayern Munich,"[2.0, 2.0, 2.0, nan, nan]"
2018-08-25T13:30:00+00:00,Fortuna Dusseldorf,"[nan, nan, 2.0, 2.0, 2.0]"
2018-09-02T13:30:00+00:00,Fortuna Dusseldorf,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-09-15T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-21T18:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-26T16:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-29T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-06T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-19T18:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-27T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-04T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-10T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-24T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-30T19:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-07T19:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-15T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-18T19:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-22T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-19T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-27T17:00:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-02T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-10T17:00:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-17T17:00:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-23T17:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-02T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-11T19:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-16T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-30T14:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-06T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-14T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-20T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-27T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-05T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-11T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, 2.0, nan]"
2019-05-18T13:30:00+00:00,Fortuna Dusseldorf,"[2.0, 2.0, 2.0, nan, nan]"
2018-08-25T13:30:00+00:00,Hertha Berlin,"[nan, nan, 2.0, 2.0, 2.0]"
2018-09-02T16:00:00+00:00,Hertha Berlin,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-09-15T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-22T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-25T16:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-28T18:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-06T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-21T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-27T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-03T17:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-10T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-24T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-01T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-08T17:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-15T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-18T19:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-22T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-20T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-25T19:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-02T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-09T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-16T17:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-23T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-02T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-09T14:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-16T17:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-30T17:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-06T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-14T11:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-21T16:00:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-27T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-04T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-11T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, 2.0, nan]"
2019-05-18T13:30:00+00:00,Hertha Berlin,"[2.0, 2.0, 2.0, nan, nan]"
2018-08-25T13:30:00+00:00,SC Freiburg,"[nan, nan, 2.0, 2.0, 2.0]"
2018-09-01T13:30:00+00:00,SC Freiburg,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-09-16T16:00:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-22T13:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-25T18:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-30T16:00:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-07T11:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-21T13:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-26T18:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-03T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-10T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-25T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-01T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-08T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-15T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-19T19:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-22T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-19T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-26T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-03T17:00:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-09T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-16T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-23T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-02T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-09T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-15T19:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-30T14:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-05T18:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-13T13:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-21T13:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-27T13:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-05T13:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-11T13:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, 2.0, nan]"
2019-05-18T13:30:00+00:00,SC Freiburg,"[2.0, 2.0, 2.0, nan, nan]"
2018-08-25T13:30:00+00:00,VfL Wolfsburg,"[nan, nan, 2.0, 2.0, 2.0]"
2018-09-01T13:30:00+00:00,VfL Wolfsburg,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-09-15T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-22T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-26T18:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-29T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-05T18:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-20T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-27T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-03T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-09T19:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-24T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-02T17:00:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-08T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-14T19:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-18T19:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-23T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-20T17:00:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-26T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-02T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-09T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-16T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-23T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-03T17:00:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-09T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-16T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-30T14:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-06T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-13T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-22T18:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-28T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-04T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-11T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, 2.0, nan]"
2019-05-18T13:30:00+00:00,VfL Wolfsburg,"[2.0, 2.0, 2.0, nan, nan]"
2018-08-25T13:30:00+00:00,Werder Bremen,"[nan, nan, 2.0, 2.0, 2.0]"
2018-09-01T13:30:00+00:00,Werder Bremen,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-09-16T13:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-22T13:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-25T16:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-09-29T13:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-05T18:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-20T16:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-10-28T17:00:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-04T17:00:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-10T14:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-11-25T14:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-01T14:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-07T19:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-15T17:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-19T19:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2018-12-22T14:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-19T14:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-01-26T17:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-02T14:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-10T14:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-16T17:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-02-22T19:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-03T17:00:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-08T19:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-17T12:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-03-30T14:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-07T16:00:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-13T13:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-20T13:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-04-27T13:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-04T16:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-05-11T13:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, 2.0, nan]"
2019-05-18T13:30:00+00:00,Werder Bremen,"[2.0, 2.0, 2.0, nan, nan]"
2018-08-25T16:30:00+00:00,Borussia Monchengladbach,"[nan, nan, 2.0, 2.0, 2.0]"
2018-09-01T13:30:00+00:00,Borussia Monchengladbach,"[nan, 2.0, 2.0, 2.0, 2.0]"
2018-09-15T16:30:00+00:00,Borussia Monchengladbach,"[2.0, 2.0, 2.0, 2.0, 2.0]"
