time,team,fiveFixtures
2019-08-10T18:00:00+00:00,Rennes,"[nan, nan, 4.0, 5.0, 3.0]"
2019-08-18T19:00:00+00:00,Rennes,"[nan, 4.0, 5.0, 3.0, 4.0]"
2019-08-25T15:00:00+00:00,Rennes,"[4.0, 5.0, 3.0, 4.0, 2.0]"
2019-09-01T13:00:00+00:00,Rennes,"[5.0, 3.0, 4.0, 2.0, 5.0]"
2019-09-13T00:00:00+00:00,Rennes,"[3.0, 4.0, 2.0, 5.0, 3.0]"
2019-09-20T00:00:00+00:00,Rennes,"[4.0, 2.0, 5.0, 3.0, 4.0]"
2019-09-24T00:00:00+00:00,Rennes,"[2.0, 5.0, 3.0, 4.0, 4.0]"
2019-09-27T00:00:00+00:00,Rennes,"[5.0, 3.0, 4.0, 4.0, 1.0]"
2019-10-04T00:00:00+00:00,Rennes,"[3.0, 4.0, 4.0, 1.0, 2.0]"
2019-10-18T00:00:00+00:00,Rennes,"[4.0, 4.0, 1.0, 2.0, 3.0]"
2019-10-25T00:00:00+00:00,Rennes,"[4.0, 1.0, 2.0, 3.0, 2.0]"
2019-11-01T00:00:00+00:00,Rennes,"[1.0, 2.0, 3.0, 2.0, 1.0]"
2019-11-08T00:00:00+00:00,Rennes,"[2.0, 3.0, 2.0, 1.0, 2.0]"
2019-11-22T00:00:00+00:00,Rennes,"[3.0, 2.0, 1.0, 2.0, 2.0]"
2019-11-29T00:00:00+00:00,Rennes,"[2.0, 1.0, 2.0, 2.0, 2.0]"
2019-12-03T00:00:00+00:00,Rennes,"[1.0, 2.0, 2.0, 2.0, 2.0]"
2019-12-06T00:00:00+00:00,Rennes,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2019-12-13T00:00:00+00:00,Rennes,"[2.0, 2.0, 2.0, 2.0, 4.0]"
2019-12-20T00:00:00+00:00,Rennes,"[2.0, 2.0, 2.0, 4.0, 4.0]"
2020-01-10T00:00:00+00:00,Rennes,"[2.0, 2.0, 4.0, 4.0, 3.0]"
2020-01-24T00:00:00+00:00,Rennes,"[2.0, 4.0, 4.0, 3.0, 5.0]"
2020-01-31T00:00:00+00:00,Rennes,"[4.0, 4.0, 3.0, 5.0, 2.0]"
2020-02-04T00:00:00+00:00,Rennes,"[4.0, 3.0, 5.0, 2.0, 4.0]"
2020-02-07T00:00:00+00:00,Rennes,"[3.0, 5.0, 2.0, 4.0, 3.0]"
2020-02-14T00:00:00+00:00,Rennes,"[5.0, 2.0, 4.0, 3.0, 2.0]"
2020-02-21T00:00:00+00:00,Rennes,"[2.0, 4.0, 3.0, 2.0, 4.0]"
2020-02-28T00:00:00+00:00,Rennes,"[4.0, 3.0, 2.0, 4.0, 2.0]"
2020-03-06T00:00:00+00:00,Rennes,"[3.0, 2.0, 4.0, 2.0, 2.0]"
2020-03-13T00:00:00+00:00,Rennes,"[2.0, 4.0, 2.0, 2.0, 2.0]"
2020-03-20T00:00:00+00:00,Rennes,"[4.0, 2.0, 2.0, 2.0, 2.0]"
2020-04-04T00:00:00+00:00,Rennes,"[2.0, 2.0, 2.0, 2.0, 2.0]"
2020-04-10T00:00:00+00:00,Rennes,"[2.0, 2.0, 2.0, 2.0, 3.0]"
2020-04-17T00:00:00+00:00,Rennes,"[2.0, 2.0, 2.0, 3.0, 2.0]"
2020-04-25T00:00:00+00:00,Rennes,"[2.0, 2.0, 3.0, 2.0, 1.0]"
2020-05-01T00:00:00+00:00,Rennes,"[2.0, 3.0, 2.0, 1.0, 5.0]"
2020-05-08T00:00:00+00:00,Rennes,"[3.0, 2.0, 1.0, 5.0, 1.0]"
2020-05-15T00:00:00+00:00,Rennes,"[2.0, 1.0, 5.0, 1.0, nan]"
2020-05-22T00:00:00+00:00,Rennes,"[1.0, 5.0, 1.0, nan, nan]"
